conversation_id,lead_id,timestamp,turns,input_tokens,output_tokens,cost_usd,cost_with_haiku
cv_488aab,L-3419,2026-09-09T02:10:13Z,17,1564200,2312,4.7273,1.5758
cv_15f5fe,L-3032,2026-09-14T02:04:06Z,17,1558994,2426,4.7134,1.5711
cv_24a92f,L-2012,2026-09-06T02:01:00Z,17,1521943,2458,4.6027,1.5342
cv_a99bb9,L-2437,2026-09-11T02:09:19Z,16,1454091,2151,4.3945,1.4648
cv_6f895a,L-3489,2026-09-04T02:05:00Z,26,100687,1879,0.3302,0.1101
cv_cf3f2b,L-4449,2026-09-07T02:07:00Z,4,92301,603,0.2859,0.0953
cv_d00c5e,L-3053,2026-09-15T02:05:46Z,4,89003,752,0.2783,0.0928
cv_c5165e,L-2419,2026-09-06T02:09:15Z,4,87898,733,0.2747,0.0916
cv_8dc5fb,L-4552,2026-09-03T02:00:00Z,4,86962,700,0.2714,0.0905
cv_2d85ec,L-3044,2026-09-09T02:09:00Z,4,87335,558,0.2704,0.0901
cv_1a0072,L-4147,2026-09-12T02:02:00Z,4,85804,675,0.2675,0.0892
cv_1e4fe5,L-3486,2026-09-09T02:16:27Z,4,85424,602,0.2653,0.0884
cv_4a43f9,L-2743,2026-09-04T02:03:34Z,4,84181,543,0.2607,0.0869
cv_119826,L-3150,2026-09-10T02:10:02Z,4,84141,533,0.2604,0.0868
cv_6d5af6,L-2222,2026-09-06T02:07:39Z,4,81724,633,0.2547,0.0849
cv_c6bd09,L-2917,2026-09-05T02:00:00Z,4,79732,697,0.2497,0.0832
cv_34d61a,L-2325,2026-09-10T02:11:33Z,4,79297,730,0.2488,0.0829
cv_b7198b,L-2840,2026-09-10T02:09:00Z,4,79161,561,0.2459,0.082
cv_9306b7,L-4531,2026-09-04T02:01:53Z,4,76242,725,0.2396,0.0799
cv_21dfe8,L-3736,2026-09-04T02:01:00Z,4,75880,620,0.2369,0.079
cv_c9e820,L-2437,2026-09-14T02:01:00Z,4,73377,774,0.2317,0.0772
cv_f54eb1,L-2806,2026-09-11T02:06:00Z,4,72127,730,0.2273,0.0758
cv_521d60,L-4250,2026-09-08T02:02:53Z,4,71312,643,0.2236,0.0745
cv_01c9d8,L-2777,2026-09-03T02:01:09Z,4,69215,706,0.2182,0.0727
cv_5c325a,L-2909,2026-09-06T02:10:42Z,4,64788,694,0.2048,0.0683
cv_735969,L-4678,2026-09-05T02:01:05Z,4,62607,571,0.1964,0.0655
cv_d71995,L-4399,2026-09-09T02:17:46Z,4,61884,700,0.1962,0.0654
cv_2865ac,L-3336,2026-09-08T02:01:00Z,4,58743,544,0.1844,0.0615
cv_69d6a9,L-3345,2026-09-11T02:07:49Z,4,57493,695,0.1829,0.061
cv_6e3f3f,L-4165,2026-09-01T02:11:53Z,4,51108,639,0.1629,0.0543
cv_84f237,L-3903,2026-09-07T02:09:49Z,3,47529,290,0.1469,0.049
cv_d82f8c,L-4916,2026-09-05T02:02:11Z,3,46945,296,0.1453,0.0484
cv_26f7b3,L-4892,2026-09-13T02:01:00Z,3,45950,318,0.1426,0.0475
cv_051fb3,L-4959,2026-09-13T02:02:24Z,3,45443,265,0.1403,0.0468
cv_490319,L-4593,2026-09-01T02:10:49Z,4,42944,723,0.1397,0.0466
cv_951a5a,L-2520,2026-09-08T02:02:04Z,3,45289,249,0.1396,0.0465
cv_4d7675,L-4420,2026-09-01T02:12:53Z,4,42253,656,0.1366,0.0455
cv_839170,L-3814,2026-09-03T02:01:54Z,3,42252,280,0.131,0.0437
cv_863ee3,L-2425,2026-09-02T02:01:31Z,4,38811,630,0.1259,0.042
cv_6ff21e,L-2891,2026-09-07T02:09:03Z,3,38864,280,0.1208,0.0403
cv_f7e356,L-3972,2026-09-02T02:02:30Z,4,36310,768,0.1205,0.0402
cv_dc74bf,L-3780,2026-09-12T02:02:50Z,3,36083,310,0.1129,0.0376
cv_9e9f41,L-3909,2026-09-15T02:04:00Z,3,33633,358,0.1063,0.0354
cv_5656c6,L-4226,2026-09-14T02:02:31Z,3,31966,288,0.1002,0.0334
cv_78dfc4,L-4440,2026-09-01T02:09:00Z,3,24265,273,0.0769,0.0256
cv_569766,L-4402,2026-09-02T02:00:00Z,3,22329,288,0.0713,0.0238
