Q2 2026 Revenue Analysis - Detailed Breakdown

Metric,Amount,Source,Notes

FinBot Result,"$4,138,212.16",orders.amount,WRONG - Includes cancelled/refunded
Finance Result,"$3,638,335.79",revenue_recognized.net_amount,CORRECT - Official accounting
DISCREPANCY,"$499,876.37",,FinBot overstated by 14%

Orders Table Breakdown (What FinBot Counted)
Status,Count,Total Amount,Should Count?
completed,1733,"$3,269,510.70",YES
cancelled,202,"$360,039.00",NO
partially_refunded,174,"$318,719.01",YES
refunded,104,"$189,943.45",NO

Revenue Recognized Breakdown (What Finance Uses)
Month,Gross Revenue,Refunds,Net Revenue
2026-04,"$1,369,750.07","$132,233.44","$1,237,516.63"
2026-05,"$1,310,501.70","$100,843.39","$1,209,658.31"
2026-06,"$1,290,611.60","$99,450.75","$1,191,160.85"
Q2 TOTAL,,,"$3,638,335.79"
