metric,value,notes
bot_reported,4138212.16,Sum of ALL orders in Q2
finance_actual,3638335.79,Net revenue from revenue_recognized table
discrepancy,499876.3700000001,Bot overreported by this amount
orders_completed,3269510.7,1733 orders with status=completed
orders_partially_refunded,318719.01,174 orders with status=partially_refunded
orders_refunded,189943.45,104 orders with status=refunded
orders_cancelled,360039.0,202 orders with status=cancelled
rev_rec_gross,3970863.37,Gross revenue before refunds
rev_rec_refunds,332527.58,Total refunds applied
rev_rec_net,3638335.79,Net revenue (gross - refunds)
month_2026-04,1237516.63,April 2026 net revenue
month_2026-05,1209658.31,May 2026 net revenue
month_2026-06,1191160.85,June 2026 net revenue
